CMDLINE /usr/bin/python main-copy2.py
MEM 1.187500 1543574971.0623
MEM 16.136719 1543574971.1629
MEM 25.300781 1543574971.2633
MEM 37.460938 1543574971.3636
MEM 65.828125 1543574971.4641
MEM 102.679688 1543574971.5647
MEM 121.417969 1543574971.6651
MEM 121.417969 1543574971.7656
MEM 121.417969 1543574971.8662
MEM 121.417969 1543574971.9666
MEM 121.417969 1543574972.0671
MEM 121.417969 1543574972.1676
MEM 121.417969 1543574972.2682
MEM 121.417969 1543574972.3687
MEM 121.675781 1543574972.4691
MEM 121.675781 1543574972.5695
MEM 121.675781 1543574972.6701
MEM 121.683594 1543574972.7705
MEM 121.683594 1543574972.8710
MEM 121.683594 1543574972.9716
MEM 121.683594 1543574973.0721
MEM 121.683594 1543574973.1726
MEM 121.683594 1543574973.2731
MEM 121.683594 1543574973.3736
MEM 121.683594 1543574973.4741
MEM 121.683594 1543574973.5747
MEM 121.683594 1543574973.6752
MEM 121.683594 1543574973.7757
MEM 121.683594 1543574973.8763
MEM 121.683594 1543574973.9769
MEM 121.683594 1543574974.0776
MEM 121.683594 1543574974.1781
MEM 121.683594 1543574974.2815
MEM 121.683594 1543574974.3820
MEM 121.683594 1543574974.4833
MEM 121.683594 1543574974.5839
MEM 121.683594 1543574974.6844
MEM 121.683594 1543574974.7850
MEM 121.683594 1543574974.8855
MEM 121.683594 1543574974.9860
MEM 121.683594 1543574975.0864
MEM 121.683594 1543574975.1870
MEM 121.683594 1543574975.2875
MEM 121.683594 1543574975.3880
MEM 121.683594 1543574975.4886
MEM 121.683594 1543574975.5891
MEM 121.683594 1543574975.6897
MEM 121.683594 1543574975.7901
MEM 121.683594 1543574975.8907
MEM 121.683594 1543574975.9912
MEM 121.683594 1543574976.0918
MEM 121.683594 1543574976.1924
MEM 121.683594 1543574976.2929
MEM 121.683594 1543574976.3935
MEM 121.683594 1543574976.4941
MEM 121.683594 1543574976.5946
MEM 121.683594 1543574976.6951
MEM 121.683594 1543574976.7957
MEM 121.683594 1543574976.8962
MEM 121.683594 1543574976.9968
MEM 121.683594 1543574977.0973
MEM 121.683594 1543574977.1979
MEM 121.683594 1543574977.2984
MEM 121.683594 1543574977.3990
MEM 121.683594 1543574977.4995
MEM 121.683594 1543574977.6000
MEM 121.683594 1543574977.7006
MEM 121.683594 1543574977.8012
MEM 121.683594 1543574977.9017
MEM 121.683594 1543574978.0022
MEM 121.683594 1543574978.1027
MEM 121.683594 1543574978.2032
MEM 121.683594 1543574978.3038
MEM 121.683594 1543574978.4043
MEM 121.683594 1543574978.5047
MEM 121.683594 1543574978.6052
MEM 121.683594 1543574978.7057
MEM 121.683594 1543574978.8061
MEM 121.683594 1543574978.9066
MEM 121.683594 1543574979.0070
MEM 121.683594 1543574979.1075
MEM 121.683594 1543574979.2079
MEM 121.683594 1543574979.3083
MEM 121.683594 1543574979.4088
MEM 121.683594 1543574979.5093
MEM 121.683594 1543574979.6098
MEM 121.683594 1543574979.7102
MEM 121.683594 1543574979.8107
MEM 121.683594 1543574979.9111
MEM 121.683594 1543574980.0115
MEM 121.683594 1543574980.1120
MEM 121.683594 1543574980.2124
MEM 121.683594 1543574980.3128
MEM 121.683594 1543574980.4133
MEM 121.683594 1543574980.5137
MEM 121.683594 1543574980.6141
MEM 121.683594 1543574980.7144
MEM 121.683594 1543574980.8148
MEM 121.683594 1543574980.9152
MEM 121.683594 1543574981.0156
MEM 121.683594 1543574981.1160
MEM 121.683594 1543574981.2164
MEM 121.683594 1543574981.3169
MEM 121.683594 1543574981.4174
MEM 121.683594 1543574981.5183
MEM 121.683594 1543574981.6188
MEM 121.683594 1543574981.7194
MEM 121.683594 1543574981.8198
MEM 121.683594 1543574981.9203
MEM 121.683594 1543574982.0207
MEM 121.683594 1543574982.1210
MEM 121.683594 1543574982.2212
MEM 121.683594 1543574982.3216
MEM 121.683594 1543574982.4221
MEM 121.683594 1543574982.5225
MEM 121.683594 1543574982.6230
MEM 121.683594 1543574982.7234
MEM 121.683594 1543574982.8239
MEM 121.683594 1543574982.9243
MEM 121.683594 1543574983.0247
MEM 121.683594 1543574983.1251
MEM 121.683594 1543574983.2255
MEM 121.683594 1543574983.3259
MEM 121.683594 1543574983.4263
MEM 121.683594 1543574983.5266
MEM 121.683594 1543574983.6270
MEM 121.683594 1543574983.7275
MEM 121.683594 1543574983.8279
MEM 121.683594 1543574983.9282
MEM 121.683594 1543574984.0286
MEM 121.683594 1543574984.1292
MEM 121.683594 1543574984.2296
MEM 121.683594 1543574984.3301
MEM 121.683594 1543574984.4306
MEM 121.683594 1543574984.5310
